贫女（唐·张碧）　　五言绝句　押职韵	岂是昧容华，岂不知机织。自是生寒门，良媒不相识。
幽思（唐·张碧）　　五言绝句	金炉烟霭微，锦釭残影灭。出户独裴回，落花满明月。
惜花三首（唐·张碧）　　七言绝句　押灰韵	千枝万枝占春开，彤霞著地红成堆。一窖闲愁驱不去，殷勤对尔酌金杯。
农父（唐·张碧）　　七言绝句　押纸韵	运锄耕斸侵星起，陇亩丰盈满家喜。到头禾黍属他人，不知何处抛妻子。
古意（唐·张碧）　　七言绝句	銮舆不碾香尘灭，更残三十六宫月。手持纨扇独含情，秋风吹落横波血。
野田行（唐·张碧）	风昏昼色飞斜雨，冤骨千堆髑髅语。八纮牢落人物悲（一作稀），是个（一作尽是）田园荒废主。悲嗟自古争天下（一作子），几度乾坤复如此。秦皇矻矻筑长城，汉祖（一作主）区区白蛇死。野田之骨兮又成尘，楼阁风烟兮还复新。愿得华山之下长归马，野田无复堆冤者。
游春引三首（唐·张碧）　　押先韵	句芒爱弄春风权，开萌发翠无党偏。句芒小女精神巧，机罗杼绮满平川。
秋日登岳阳楼晴望（唐·张碧）	三秋倚练飞金盏，洞庭波定平如刬。天高云卷绿罗低，一点君山碍人眼。漫漫万顷铺琉璃，烟波阔远无鸟飞。西南东北竞（一作竟）无际，直疑侵断青天涯。屈原回日牵愁吟，龙宫感激致应沈。贾生憔悴说不得，茫茫烟霭堆湖心①。
鸿沟（唐·张碧）	毒龙衔日天地昏，八纮叆叇生愁云。秦园（一作原）走鹿无藏处，纷纷争处蜂（一作围）成群。四溟波立鲸相（一作用）吞，荡摇五岳崩山根。鱼虾舞浪（一作渡）狂鳅鲲，龙蛇胆战登鸿门。星旗羽镞强者尊，黑风白雨东西屯。山河欲拆人烟分，壮士鼓勇君王存。项庄愤气吐不得，亚父㪷声天上闻。玉光堕地惊昆崙，留侯气魄吞太华。舌头一寸生阳春，神农女娲愁不言。蛇枯老媪啼泪痕，星曹定秤秤王孙。项籍骨轻迷精魂，沛公仰面争乾坤。须臾垓下贼星起，歌声缭绕悽人耳。吴娃捧酒横秋波，霜天月照空城垒。力拔山兮忽（一作呼）到此，骓嘶懒渡乌江水。新丰瑞色生楼台，西楚寒蒿哭愁鬼。三尺霜鸣金匣里，神光一掉（一作透）八千里。汉皇骤马意气生，西南扫地迎天子。
美人梳头（唐·张碧）	玉堂花院小枝红，绿窗一片春光晓。玉容惊觉浓睡醒，圆蟾挂出妆台表。金盘解下丛鬟碎，三尺巫云绾朝翠。皓指高低寸黛愁，水精梳滑参差坠。须臾拢掠蝉鬓生，玉钗冷透冬冰明。芙蓉拆向新开脸，秋泉慢转眸波横。鹦鹉偷来话心曲，屏风半倚遥山绿。
题祖山人池上怪石（唐·张碧）	寒姿数片奇突兀，曾作秋江秋水骨。先生应是厌风云（一作雷），著向江边塞龙窟。我来池上倾酒尊，半酣书破青烟痕。参差翠缕摆不落，笔头惊怪黏秋云。我闻吴中项容水墨有高价①，邀得将来倚松下。铺却双缯直道难，掉首空归不成画。
庐山瀑布（唐·张碧）	谁将织女机头练，贴出青山碧云面。造化工夫不等闲，剪破澄江凝一片。怪来洞口流呜咽，怕见三冬昼飞雪。石镜无光相对愁，漫漫顶上沈秋月。争得阳乌照山北，放出青天豁胸臆。黛花新染插天风，蓦吐中心烂银色。五月六月暑云飞，阁门远看澄心机。参差碎碧落岩畔，梅花乱摆当风散。
林书记蔷薇（唐·张碧）	东风折尽诸花卉，是个亭台冷如水。黄鹂舌滑跳柳阴，教看蔷薇吐金蕊。双成涌出琉璃宫，天香阔罩红熏笼。西施晓下吴王殿，乱抛娇脸新匀浓。瑶姬学绣流苏幔，绿夹殷红垂锦段。炎洲吹落满汀云，阮瑀庭前装一半。醉且书怀还复吟，蜀笺影里霞光侵。秦娥晚凭栏干立，柔枝坠落青罗襟。殷勤无波绿池水，为君作镜开妆蕊。
荅友人新栽松（唐·张碧）	石门新长青龙髯，虬身宛转云光粘。闻君爱我幽崖前，十株五株寒霜天。越溪老僧头削雪，曾云手植当庭月。三十年来遮火云，凉风五月生空门。愿君栽于清涧泉，贞姿莫迓夭桃妍。□□易开还易落，贞姿郁郁长依然。山童懒上孤峰巅，当窗划破屏风烟。
