贞女墓（唐·邵谒）　　五言绝句　押尾韵	生持节操心，死作坚贞鬼。至今坟上春，草木无花卉。
送友人江行（唐·邵谒）　　五言绝句　押纸韵	送君若浪水，叠叠愁①思起。梦魂如月明，相送秋江里。
汉宫井（唐·邵谒）　　七言绝句　押梗韵	辘轳声绝离宫静，班姬几度照金井。梧桐老去残花开，犹似当时①美人影。
显（一作题）茂楼（唐·邵谒）　　七言绝句　押月韵	秦山渭水尚悠悠，如何草树迷宫阙。繁华朱翠尽东流，唯有望楼对明月。
紫阁峰（唐·邵谒）　　七言绝句　押陌韵	壮国山河倚空碧，迥拔烟霞侵太白。绿崖下视千万寻，青天只据百馀尺。
降巫诗（唐·邵谒）　　七言绝句　押阳韵	青山山下少年郎，失意当时别故乡。惆怅不堪回首望，隔溪遥见旧书堂。
放歌行（唐·邵谒）　　押纸韵	龟为秉灵亡，鱼为弄珠死。心中自有贼，莫怨任公子。屈原若不贤，焉得沈湘水。
长安寒食（唐·邵谒）　　押纸韵	春日照九衢，春风媚罗绮。万骑出都门，拥在香尘里。莫辞吊枯骨，千载长如此。安知今日身，不是昔时鬼。但看平地游，亦见摧辀死。
自叹（唐·邵谒）　　押质韵	春蚕未成茧，已贺箱笼实。蟢子徒有丝，终年不成匹。每念古人言，有得则有失。我命独如何，憔悴长如一。白日九衢中，幽独暗如漆。流泉有枯时，穷贱无尽日。惆怅复惆怅，几回新月出。
送徐群宰望江（唐·邵谒）	古人力文学，所务安疲氓。今人力文学，所务惟公卿。大贤重邦本，屈迹官武城。劝民勤机杼，自然国用并。但见富贵者，知食不知耕。忽尔秋不熟，储（一作庾）廪焉得盈。贡艺既精苦，用心必公平。吾道不遗贤，霄汉期芳馨。一夫若有德，千古称其英。陶潜虽理邑，崔烈徒台衡。浊者必恶清，瞽者必恶明。孤松自有色，岂夺众草荣。为刀若不利，焉得宰牛名。为丝若不直，焉得琴上声。好去立高节，重来振羽翎。
秋夕（唐·邵谒）	万里凭梦归，骨肉皆在眼。觉来益惆怅，不信长安远。人人但为农，我独常逢旱。恶命如漏卮，滴滴添不满。天末雁来时，一叫一肠断。
览孟东野集（唐·邵谒）	蚌死留夜光，剑折留锋铓。哲人归大夜，千古传圭璋。圭璋遍四海，人伦多变改。题花花已无，玩月月犹在。不知天地间，白日几时昧。
下第有感（唐·邵谒）	古人有遗言，天地如掌阔。我行三十载，青云路未（一作难）达。尝闻读书者，所贵免征伐。谁知失意时，痛于刃（一作楚欲）伤骨。身如石上草，根蒂浅难活。人人皆爱春，我独愁花发。如何归故山，相携采薇蕨。
论政（唐·邵谒）　　押尤韵	贤哉三握发，为有天下忧。孙弘不开阁，丙吉宁问牛。内政由股肱，外政由诸侯。股肱政若行，诸侯政自修。一物不得所，蚁穴满山丘。莫言万木死，不因一叶秋。朱云若不直，汉帝终自由。子婴一失国，渭水东悠悠。
赠郑殷处士（唐·邵谒）　　押庚韵	善琴不得听，嘉玉不得名。知音既已死，良匠亦未生。退居一河湄，山中物景清。鱼沈池水碧，鹤去松枝轻。长材靡入用，大厦失巨楹。颜子不得禄，谁谓天道平。
经安容先生旧居（唐·邵谒）	羽化留遗踪，千载踪难没。一泉岩下水，几度换明月。松老不改柯，龙久皆变骨。云雨有归时，鸡犬无还日。至今青山中，寂寞桃花发。
望行人（唐·邵谒）	登楼恐不高，及高君已远。云行郎即行，云归郎不返。嗟为楼上人，望望不相近。若作辙中泥，不放郎车转。白日下西山，望尽妾肠断。
金谷园怀古（唐·邵谒）　　押阳韵	在富莫骄奢，骄奢多自亡。为女莫骋容，骋容多自伤。如何金谷园，郁郁椒兰房。昨夜绮罗列，今日池馆荒。竹死不变（一作改）节，花落有馀香。美人抱义死，千载名犹彰。娇歌无遗音，明月留清光。浮云易改色，衰草难重芳。不学韩侯妇，衔冤报宋王。
春日有感（唐·邵谒）	我心如檗苦，他见如荠甘。火未到身者，痛楚难共谙。但言贫者拙，不言富者贫。谁知苦寒女，力尽为桑蚕。
学仙词（唐·邵谒）	上仙传秘诀，澹薄与无营。鍊药□□□，变姓不变形。三尸既无累，百虑自不生。是知寸心中，有路通上清。祖龙好仙术，烧却黄金精。
