奉和武相公春晓闻莺（唐·许孟容）　　七言绝句　押庚韵	碧树当窗啼晓莺，间关入梦听难成。千回万啭尽愁思，疑是血魂哀困声。
荅权载之离合诗（唐·许孟容）	史（一作敏）才司秘府，文哲今超古。亦有擅风骚，六联文墨曹。圣贤三代意，工艺千金字。化识从臣谣，人推仙阁吏。如登昆阆时，口诵灵真词。孙简下威凤，系霜琼玉枝。
郊庙歌辞 享文恭（一作郊庙歌辞 享文敬太子庙乐章 请神）太子庙乐章（唐·许孟容）	觞牢具品，管弦有节。祝道寅恭，神仪昭晰。桐圭早贵，象辂追设。罄达乐成，降歆丰洁。
