又判争猫儿状（唐·裴谞）　　五言绝句　押语韵	猫儿不识主，傍家搦老鼠。两家不须争，将来与裴谞。
判误书纸背（唐·裴谞）　　押翰韵	这畔似那畔，那畔似这畔。我也不辞与你判，笑杀门前著靴汉。
储潭庙（唐·裴谞）	江水上源急如箭，潭北转急令目眩。中间十里澄漫漫，龙蛇若见若不见。老农老圃望天语，储潭之神可致雨。质明斋服躬往奠，牢醴丰洁精诚举。女巫纷纷堂下舞，色似授兮意似与。云在山兮风在林，风云忽起潭更深。气霾祠宇连江阴，朝日不复照翠岑。回溪口兮棹清流，好风带雨送到州。吏人雨立喜再拜，神兮灵兮如献酬。城上楼兮危架空，登四望兮暗濛濛。不知兮千万里，惠泽愿兮与之同。我有言兮报匪徐，车骑复往礼如初。高垣墉兮大其门，洒扫丹雘壮神居。使过庙者之加敬，酒食货财而有馀。神兮灵，神兮灵，匪享慢，享克诚。
