迷香洞（唐·史凤）　　七言绝句　押齐韵	洞口飞琼佩羽霓，香风飘拂使人迷。自从邂逅芙蓉帐，不数桃花流水溪。
神鸡枕（唐·史凤）　　七言绝句　押齐韵	枕绘鸳鸯久与栖，新裁雾縠斗神鸡。与郎酣梦浑忘晓，鸡亦留连不肯啼。
锁莲灯（唐·史凤）　　七言绝句　押灰韵	灯锁莲花花照罍，翠钿同醉楚台巍。残灰剔罢携纤手，也胜金莲送辙回。
鲛红被（唐·史凤）　　七言绝句　押寒韵	肱被当年仅禦寒，青楼惯染血猩纨。牙床舒卷鹓鸾共，正值窗棂月一团。
传香枕（唐·史凤）　　七言绝句　押先韵	韩寿香从何处传，枕边芳馥恋婵娟。休疑粉黛加铤刃，玉女旃檀侍佛前。
八分羊（唐·史凤）　　七言绝句　押阳韵	党家风味足肥羊，绮阁留人漫较量。万羊亦是男儿事，莫学狂夫取次尝。
闭门羹（唐·史凤）　　七言绝句　押阳韵	一豆聊供游冶郎，去时忙唤锁仓琅。入门独慕相如侣，欲拨瑶琴弹凤凰。
