赠故人（唐·薛馧）　　五言绝句　押支韵	昔别容如玉，今来鬓若丝。泪痕应共见，肠断阿谁知。
赠郑女郎（唐·薛馧）	艳阳灼灼河洛神，珠帘绣户青楼春。能弹箜篌弄纤指，愁杀门前少年子。笑开一面红粉妆，东园几树桃花死。朝理曲，暮理曲，独坐窗前一片玉。行也娇，坐也娇，见之令人魂魄（一作暗）销。堂前锦褥红地炉，绿沈香榼倾屠苏。解佩时时歇歌管，芙蓉帐里兰麝满。晚起罗衣香不断，灭烛（一作烛灭）每嫌秋夜短。
古意（唐·薛馧）　　押语韵	昨夜巫山中①，失却阳台女。朝来香阁里②，独伴楚王语。
句（唐·薛馧）　　押齐韵	寂寞相思处，雕梁落燕泥①。
