将赴东都上李相国（唐·孙叔向）　　五言绝句　押灰韵	四海兵初偃，平津阁正开。谁知大炉火，还有不然灰。
题昭应温泉（唐·孙叔向）　　七言绝句　押尤韵	一道温泉绕御楼，先皇曾向此中游。虽然水是无情物，也到宫前咽不流。
送咸安公主（唐·孙叔向）　　七言绝句　押元韵	卤簿迟迟出国门，汉家公主嫁乌孙。玉颜便向穹庐去，卫霍空承明主恩。
