石桥琪树（唐·蔡隐丘）　　五言绝句　押萧韵	山上天将近，人间路渐遥。谁当云里见，知欲渡仙桥。
句（唐·蔡隐丘）	草径不闻金马诏，松门唯见石人看。
句（唐·蔡隐丘）　　押庚韵	整巾千嶂耸，曳履百泉鸣。
