登鹳雀楼（唐·王之涣）　　五言绝句　押尤韵	白日依山尽，黄河入海流。欲穷千里目，更上一层楼。
送别（唐·王之涣）　　五言绝句　押歌韵	杨柳东风①树，青青夹御河。近来攀折苦，应为别离多。
凉州词二首（唐·王之涣）　　七言绝句　押删韵	黄河远①上白云间，一片孤城万仞山。羌笛何须怨杨柳，春风②不度玉门关。
宴词（唐·王之涣）　　七言绝句　押尤韵	长堤春水绿悠悠，畎入漳河一道流。莫听声声催去棹，桃溪浅处不胜舟。
九日送别（唐·王之涣）　　七言绝句　押微韵	蓟庭萧瑟故人稀，何处登高且送归。今日暂同芳菊酒，明朝应作断蓬飞。
