赠南岳僧全玭（唐·孙偓）　　七言绝句　押真韵	窠居过后更何人，传得如来法印真。昨日祝融峰下见，草衣便是雪山□。
寄杜先生诗（唐·孙偓）　　押尤韵	蜀国信难遇，楚乡心更愁。我行同范蠡，师举效浮丘。他日相逢处，多应在十洲。
句（唐·孙偓）　　押先韵	好是步虚明月夜，瑞炉蜚下醮坛前（见《玉堂闲话》）。
