寄征人（唐·廉氏）　　七言绝句　押支韵	凄凄北风吹鸳被，娟娟西月生蛾眉。谁知独夜相思处，泪滴寒塘蕙草时。
峡中即事（唐·廉氏）　　押文韵	清秋三峡此中去，鸣①鸟孤猿不可闻。一道水声多乱石，四时天色少晴云。日暮泛舟溪溆口，那堪夜永②思氛氲。
怀远（唐·廉氏）　　押微韵	隙尘何微微，朝夕通其辉。人生各有托，君去独不归。青林有蝉响，赤日无鸟飞。裴回东南望，双泪空沾衣。
