送远（唐·刘媛）　　七言绝句　押灰韵	闻道瞿塘滟滪堆，青山流水近阳台。知君此去无还日，妾亦随波不复回。
句（唐·刘媛）	春风报梅柳，一夜发南枝。傍人那得知心事，一面残妆空泪痕。
长门怨三首 其一（唐·刘媛）　　押阳韵	雨①滴长门秋夜长，愁心和雨到昭阳。泪痕不学②君恩断，拭却千行更万行。
