感秃鹙潜吟（唐·顾夐）　　押虞韵	昔日曾看瑞应图，万般祥端不如无。摩诃池上分明见，仔细看来是那鹕。
荷叶杯（唐·顾夐）　　押支韵	春尽小庭花落，寂寞，凭槛敛双眉。忍教成病忆佳期，知摩知，知摩知。
甘州子（唐·顾夐）	一炉龙麝锦帷傍，屏掩映，烛荧煌。禁楼刁斗喜初长，罗荐绣鸳鸯。山枕上，私语口脂香。
遐方怨（唐·顾夐）	帘影细，簟文平。象纱笼玉指，缕金罗扇轻。嫩红双脸似花明，两条眉黛远山横。凤箫歇，镜尘生。辽塞音书绝，梦魂长暗惊。玉郎经岁负娉婷，教人争不恨无情。
诉衷情（唐·顾夐）　　押侵韵	香灭帘垂春漏永，整鸳衾。罗带重，双凤，缕黄金。窗外月光临，沈沈。断肠无处寻，负春心。
添声杨（即柳枝）柳枝（唐·顾夐）	秋夜香闺思寂寥，漏迢迢。鸳帏罗幌麝烟销，烛光摇。正忆玉郎游荡去，无寻处。更闻帘外雨潇潇，滴芭蕉。
醉公子（唐·顾夐）	漠漠秋云澹，红藕香侵槛。枕倚小山屏，金铺向晚扃。睡起横波慢，独望情何限。衰柳数声蝉，魂销似去年。
酒泉子（唐·顾夐）	杨柳舞风，轻惹春烟残雨。杏花愁，莺正语，画楼东。锦屏寂寞思无穷，还是不知消息。镜尘生，珠泪滴，损仪容。
浣溪沙（唐·顾夐）	春色迷人恨正赊，可堪荡子不还家，细风轻露著梨花。帘外有情双燕飏，槛前无力绿杨斜，小屏狂梦极天涯。
更漏子（唐·顾夐）	旧欢娱，新怅望，拥鼻含嚬楼上。浓柳翠，晚霞微，江鸥接翼飞。帘半卷，屏斜掩，远岫参差迷眼。歌满耳，酒盈尊，前非不要论。
应天长（唐·顾夐）	瑟瑟罗裙金线缕，轻透鹅黄香画裤。垂交带，盘鹦鹉，袅袅翠翘移玉步。背人匀檀注，慢转娇波偷觑。敛黛春情暗许，倚屏慵不语。
渔歌子（唐·顾夐）	晓风清，幽沼绿，倚阑凝望珍禽浴。画帘垂，翠屏曲，满袖荷香馥郁。好摅怀，堪寓目，身闲心静平生足。酒杯深，光影促，名利无心较逐。
河传（唐·顾夐）	燕飏，晴景。小窗屏暖，鸳鸯交颈。菱花掩却翠鬟欹，慵整，海棠帘外影。绣帏香断金鸂鶒，无消息。心事空相忆，倚东风。春正浓，愁红，泪痕衣上重。
木兰花（即玉楼春）（唐·顾夐）	月照玉楼春漏促，飒飒风摇庭砌竹。梦惊鸳被觉来时，何处管弦声断续。惆怅少年游冶去，枕上两蛾攒细绿。晓莺帘外语花枝，背帐犹残红蜡烛。
虞美人（唐·顾夐）	晓莺啼破相思梦，帘卷金泥凤。宿妆犹在酒初醒，翠翘慵整倚云屏，转娉婷。香檀细画侵桃脸，罗袂轻轻敛。佳期堪恨再难寻，绿芜满院柳成阴，负春心。
临江仙（唐·顾夐）	碧染长空池似镜，倚楼闲望凝情。满衣红藕细香清。象床珍簟，山障掩，玉琴横。暗想昔时欢笑事，如今赢得愁生。博山炉煖澹烟轻。蝉吟人静，残日傍，小窗明。
献衷心（唐·顾夐）	绣鸳鸯帐暖，画孔雀屏欹。人悄悄，月明时。想昔年欢笑，恨今日分离。银釭背，铜漏永，阻佳期。小炉烟细，虚阁帘垂。几多心事，暗地思惟。被娇娥牵役，魂梦如痴。金闺里，山枕上，始应知。
