拨棹歌（唐·德诚）　　七言绝句	千尺丝纶直下垂，一波才动万波随。夜静水寒鱼不食，满船空载月明归①。
拨棹歌 其四（唐·德诚）　　押寒韵	一叶虚舟一副竿，了然无事坐烟滩。忘得丧，任悲欢，却教人唤有多端。
偈（唐·德诚）　　押麻韵	本是钓鱼船上客，偶力须发著袈裟。佛祖位中留不住，夜深依旧宿芦花。
