状江南 仲冬（唐·吕渭）　　五言绝句　押先韵	江南仲冬天，紫蔗节如鞭。海将盐作雪，山用火耕田。
贞元十一年知贡举挠阁（一作闷）不能定去留寄诗前主司（唐·吕渭）　　五言绝句　押庚韵	独坐贡闱里，愁多芳草生。仙翁昨日事，应见此时情。
皇帝移晦日为中和节（唐·吕渭）　　五言排律　押歌韵	皇心不向晦，改节号中和。淑气同风景，嘉名别咏歌。湔裙移旧俗，赐尺下新科。历象千年正，酺醵四海多。花随春令发，鸿（一作鸟）度岁阳过。天地齐休庆，欢声欲荡波。
忆长安 八月（唐·吕渭）　　押支韵	忆长安，八月时，阙下天高旧仪。衣冠共颁金镜，犀象对舞丹墀。更爱终南灞上，可怜秋草碧滋。
经湛长史草堂（唐·吕渭）	岩居旧风景，人世今成昔。木落古山空，猿啼秋月白。谁同西府僚，几谢南平客。摧残松桂老，萧散烟云夕。迹留异代远，境入空门寂。惟有草堂僧，陈诗在石壁。
