状江南 仲春（唐·谢良辅）　　五言绝句　押先韵	江南仲春天，细雨色如烟。丝①为武昌柳，布作石门泉。
状江南 孟冬（唐·谢良辅）　　五言绝句　押先韵	江南孟冬天，荻穗软如绵。绿绢芭蕉裂，黄金橘柚悬。
忆长安 正月（唐·谢良辅）　　押支韵	忆长安，正月时，和风喜气相随。献寿彤庭万国，烧灯青玉五枝。终南往往残雪，渭水处处流澌。
忆长安 十二月（唐·谢良辅）　　押支韵	忆长安，腊月时，温泉彩仗新移。瑞气遥迎凤辇，日光先暖龙池。取酒虾蟆陵下，家家守岁传卮。
