蜀䭾引 其一（唐·冯涓）　　七言绝句	昂藏大步蚕丛国，曲颈微伸高九尺。卓女窥窗莫我知，严仙据案何曾识。
自嘲绝句（唐·冯涓）　　七言绝句　押尤韵	取水郎中何日了，破柴员外几时休。早知蜀地区娵与①，悔不长安大比丘②。
蜀䭾引 其二（唐·冯涓）　　押删韵	自古皆传蜀道难，尔何能过拔蛇山。忽惊登得鸡翁碛，又恐碍著鹿头关。
句（唐·冯涓）　　押先韵	不随俗物皆成土，只待良时却补天①。釜鱼化作池中物，木履浮为天际船②。
