梦仙谣（唐·祝元膺）　　七言绝句　押齐韵	蟾蜍夜作青冥烛①，螮蝀晴为碧落梯。好个分明天上②路，谁教深③入武陵溪。
送高遂赴举（唐·祝元膺）　　押庚韵	句曲旧宅真，自产日月英。既涵岳渎气，安无神仙名。松桂逦迤色，与君相送情。
寄道友（唐·祝元膺）　　押阳韵	两颔凝清霜，玉炉焚天香。为我延岁华，得入不死乡。
句（唐·祝元膺）　　押冬韵	雾纹斑似豹，水力健如龙（见张为《主客图》）。
句（唐·祝元膺）	却觅终南山色看，倚天横展玉屏风①。杜甫一生怜李白，应缘孔圣道才难②。终南山脚盘龙势，紫阁云心望鹤归③。
