春雪（一作云） 其二（唐·焦郁）　　七言绝句　押麻韵	春雪空濛帘外斜，霏微半入野人家。长天远树山山白，不辨梅花与柳花。
白云向空尽（唐·焦郁）　　五言排律　押东韵	白云升（一作生）远岫，摇曳入晴空。乘化随舒卷，无心任始终。欲销仍带日，将断更因风。势薄飞难定，天高色易穷。影收元气表，光灭太虚中。傥若从龙去，还施济物功。
春雪（一作云） 其一（唐·焦郁）　　五言排律　押庚韵	散漫天涯色，乘春四望平。不分残照影，何处断鸿声。缭绕先经塞，霏微近过城。因风低未敛，带雨重还轻。干吕知时泰，如膏候岁成。小儒同品物，无以荅皇明。
