南乡子（唐·李珣）	烟漠漠，雨凄凄，岸花零落鹧鸪啼。远客扁舟临野渡，思乡处，潮退水平春色暮。
西溪子（唐·李珣）	金缕翠钿浮动，妆罢小窗圆梦。日高时，春已老，人来到，满地落花慵埽。无语倚屏风，泣残红①。
女冠子（唐·李珣）　　押灰韵	星高月午，丹桂青松深处，醮坛开。金磬敲清露，珠幢立翠苔。步虚声缥缈，想像思徘徊。晓天归去路，指蓬莱。
中兴乐（唐·李珣）	后庭寂寂日初长，翩翩蝶舞红芳。绣帘垂地，金鸭无香，谁知春思如狂，忆萧郎。等闲一去，程遥信断，五岭三湘。休开鸾镜学宫妆，可能更理笙簧。倚屏凝睇，泪落成行，手寻裙带鸳鸯，暗思量。忍孤前约，教人花貌，虚老风光。
酒泉子（唐·李珣）	寂寞青楼，风触绣帘珠碎撼。月朦胧，花暗澹，锁春愁。寻思往事依稀梦，泪脸露桃红色重。鬓欹蝉，钗坠凤，思悠悠。
浣溪沙（唐·李珣）	入夏偏宜澹薄妆，越罗衣褪郁金黄，翠钿檀注助容光。相见无言还有恨，几回判却又思量，月窗香径梦悠飏。
巫山一段云（唐·李珣）	有客经巫峡，停桡向水湄。楚王曾此梦瑶姬，一梦杳无期。尘暗珠帘卷，香销翠幄垂。西风回首不胜悲，暮雨洒空祠。
菩萨蛮（唐·李珣）	回塘风起波文细，刺桐花里门斜闭。残日照平芜，双双飞鹧鸪。征帆何处客，相见还相隔。不语欲魂销，望中烟水遥。
渔歌子（唐·李珣）	楚山青，湘水渌，春风澹荡看不足。草芊芊，花簇簇，渔艇棹歌相续。信浮沈，无管束，钓回乘月归湾曲。酒盈尊，云满屋，不见人间荣辱。
望远行（唐·李珣）	春日迟迟思寂寥，行客关山路遥。琼窗时听语莺娇，柳丝牵恨一条条。休晕绣，罢吹箫，貌逐残花暗凋。同心犹结旧裙腰，忍孤风月度良宵。
河传（唐·李珣）	去去，何处。迢迢巴楚，山水相连。朝云暮雨，依旧十二峰前，猿声到客船。愁肠岂异丁香结，因离别，故国音书绝。想佳人花下，对明月春风，恨应同。
虞美人（唐·李珣）	金笼莺报天将曙，惊起分飞处。夜来潜与玉郎期，多情不觉酒醒迟，失归期。映花避月遥相送，腻髻偏垂凤。却回娇步入香闺，倚屏无语撚云篦，翠眉低。
临江仙（唐·李珣）	帘卷池心小阁虚，暂凉闲步徐徐。芰荷经雨半凋疏，拂堤垂柳，蝉噪夕阳馀。不语低鬟幽思远，玉钗斜坠双鱼。几回偷看寄来书，离情别恨，相隔欲何如。
定风波（唐·李珣）　　押真韵	志在烟霞慕隐沦，功成归看五湖春。一叶舟中吟复醉，云水，此时方认自由身。花岛为邻鸥作侣，深处，经年不见市朝人。已得希夷微妙旨，潜喜，荷衣蕙带绝纤尘。
杂歌谣辞 渔父歌三首（唐·李珣）　　押鱼韵	水接衡门十里馀，信船归去卧看书。轻爵禄，慕玄虚，莫道渔人只为鱼。
