杂曲歌辞 伊州 歌第一（唐·盖嘉运）　　押鱼韵	秋风明月独离居，荡子从戎十载馀。征人去日殷勤属，归雁来时数寄书。
杂曲歌辞 伊州 歌第二（唐·盖嘉运）　　押灰韵	彤闱晓辟万鞍回，玉辂春游薄晚开。渭北清光摇草树，州南嘉景入楼台。
杂曲歌辞 伊州 歌第三（唐·盖嘉运）　　押庚韵	闻道黄花戍，频年不解兵。可怜闺里月，偏照汉家营。
杂曲歌辞 伊州 歌第五（唐·盖嘉运）　　押冬韵	桂殿江乌对，彫屏海燕重。秖应多酿酒，醉罢乐高钟。
杂曲歌辞 伊州 入破第一（唐·盖嘉运）　　押庚韵	千门今夜晓初晴，万里天河彻帝京。璨璨繁星驾秋色，棱棱霜气韵钟声。
杂曲歌辞 伊州 入破第二（唐·盖嘉运）　　押微韵	长安二月柳依依，西出流沙路渐微。阏氏山上春光少，相府庭边驿使稀。
杂曲歌辞 伊州 入破第三（唐·盖嘉运）　　押删韵	三秋大漠冷溪山，八月严霜变草颜。卷旆风行宵渡碛，衔枚电扫晓应还。
杂曲歌辞 伊州 入破第四（唐·盖嘉运）　　押真韵	行乐三阳早，芳菲二月春。闺中红粉态，陌上看花人。
