留别南溪二首（唐·李渤）　　七言绝句　押灰韵	常叹春泉去不回，我今此去更难来。欲知别后留情处，手种岩花次第开。
桂林叹雁（唐·李渤）　　七言绝句　押庚韵	三朝四黜倦遐征，往复皆愁万里程。尔解分飞却回去，我方从此向南行。
南溪诗（唐·李渤）	玄岩丽南溪，新泉发幽色。岩泉孕灵秀，云烟纷崖壁。斜峰信天插，奇洞固神辟。窈窕去未穷，环回势难极。玉池似无水，玄井昏不测。仙户掩复开，乳膏凝更滴。丹砂有遗址，石径无留迹。南眺苍梧云，北望洞庭客。萧条风烟外，爽朗形神寂。若值浮丘翁，从此谢尘役。
喜弟淑再至为长歌（唐·李渤）	前年别时秋九月，白露吹霜金吹烈。离鸿一别影初分，泪袖双挥心哽咽。别来几度得音书，南岳知□□□□。庐山峨峨倚天碧，捧排空崖千万尺。社榜长题高士名，食堂每记云山迹。我本开云此山住，偶为名利相萦误。自负心机四十年，羞闻社客山中篇。忧时魂梦忆归路，觉来疑在林中眠。昨日亭前乌鹊喜，果得今朝尔来此。吾吟行路五十篇，尽说江南数千里。自怜兄弟今五人，共萦儒素家尚贫。虽然廪饩各不一，就中总免拘常伦。长兄年少曾落托，拔剑沙场随卫霍。口里虽谭周孔文，怀中不舍孙吴略。次兄一生能苦节，夏聚流萤冬映雪。非论疾恶志如霜，更觉临泉心似铁。第三之兄更奇异，昂昂独负青云志。下看金玉不如泥，肯道王侯身可贵。却愁清逸不干时，高踪大器无人知。倘逢感激许然诺，必能万古留清规。念尔年来方二十，夙夜孜孜能独立。卷中笔落星汉摇，洞里丹灵鬼神泣。嗟余流浪心最狂，十年学剑逢时康。心中不解事拘束，世间谈笑多相妨。广海青山殊未足，逢著高楼还醉宿。朝走安公枥上驹，暮伦陶令篱边菊。近来诗思殊无况，苦被时流不相放。云腾浪走势未衰，鹤膝蜂腰岂能障。送尔为文殊不识，贵从一一传胸臆。若到湖南见紫霄，会须待我同攀陟。
