批子弟理旧居状（唐·杨玢）　　七言绝句　押支韵	四邻侵我我从伊，毕竟须思未有时。试上含元殿基望，秋风秋草正离离。
登慈恩寺塔（唐·杨玢）　　七言绝句　押青韵	紫云楼下曲江平，鸦噪残阳麦陇青。莫上慈恩最高处，不堪看又不堪听。
遣歌妓（唐·杨玢）　　七言绝句　押佳韵	垂老无端用意乖，谁知道侣厌清斋。如今又采蘼芜去，辜负张君绣靸鞋。
