饮后献时相（唐·吴士矩）　　七言绝句　押寒韵	一夕心期一种欢，那知疏散负杯盘。尊前数片朝云在，不许冯公子细看。
独酌谣（唐·吴士矩）　　押萧韵	愚夫子不招。
赠元微之（题拟）（唐·吴士矩）　　押支韵	永惭沾药犬，多谢出囊锥。
