逢老人（唐·隐峦）　　五言绝句　押屑韵	路逢一老翁，两鬓白如雪。一里二里行，四回五回歇。
琴（唐·隐峦）　　七言绝句　押纸韵	七条丝上寄深意，涧水松风生十指。自乃知音犹尚稀，欲教更入何人耳。
浮桥（唐·隐峦）　　七言绝句　押微韵	横压惊波防没溺，当初元创是军机。行人到此全无滞，一片江云踏欲飞。
牧童（唐·隐峦）	牧童见人俱不识（一作会），尽着芒鞋戴箬笠。朝阳未出众山晴，露滴蓑衣犹半湿。二月三月时，平原草初绿。三个五个骑羸牛，前村后村来放牧。笛声才一举，众稚齐歌舞。看看白日向西斜，各自骑牛又归去。
蜀中送人游庐山（唐·隐峦）	居游正值芳春月，蜀道千山皆秀发。溪边十里五里花，云外三峰两峰雪。君上匡山我旧居，松萝抛掷十年馀。君行试到山前问，山鸟只今相忆无。
