东西行（唐·卢频）　　五言绝句　押纸韵	种荷玉盆里，不及沟中水。养雉黄金笼，见草心先喜。
蛱蝶行（唐·卢频）　　押屋韵	东园宫草绿，上下飞相逐。君恩不禁春，昨夜花中宿。
失题（唐·卢频）　　押歌韵	春泪烂罗绮，泣声抽恨多。莫滴芙蓉池，愁伤连蒂荷。
