石城（唐·蒋吉）　　五言绝句　押灰韵	系缆石城下，恣吟怀暂开。江人桡艇子，将谓莫愁来。
汉东道中（唐·蒋吉）　　五言绝句　押萧韵	九十九冈遥，天寒雪未消。羸童牵瘦马，不敢过危桥。
高溪有怀（唐·蒋吉）　　五言绝句　押庚韵	驻马高溪侧，旅人千里情。雁山山下水，还作此泉声。
寄进士贾希（唐·蒋吉）　　五言绝句　押侵韵	恨苦泪不落，耿然东北心。空囊与瘦马，羁绁意应深。
出塞（唐·蒋吉）　　七言绝句　押文韵	瘦马羸童行背秦，暮鸦撩乱入残云。北风吹起寒营角，直至榆关人尽闻。
旅泊（唐·蒋吉）　　七言绝句　押尤韵	霜月正高鹦鹉洲，美人清唱发红楼。乡心暗逐秋江水，直到吴山脚下流。
次青云驿（唐·蒋吉）　　七言绝句　押微韵	马转栎林山鸟飞，商溪流水背残晖。行人几在青云路，底事风尘犹满衣。
大庾驿有怀（唐·蒋吉）　　七言绝句　押真韵	一囊书重百馀斤，邮吏宁知去计贫。莫讶偏吟望乡句，明朝便见岭南人。
题商山修路僧院（唐·蒋吉）　　七言绝句　押虞韵	此地修行山几枯，草堂生计只瓶盂。支郎既解除艰险，试看人心平得无。
题长安僧院（唐·蒋吉）　　七言绝句　押真韵	出门争走九衢尘，总是浮生不了身。惟有水田衣下客，大家忙处作闲人。
次商于感旧寄卢中丞（唐·蒋吉）　　七言绝句　押元韵	昔年簪组隘丘门，今日旌幢一院存。何事商于泪如雨，小儒偏受陆家恩。
樵翁（唐·蒋吉）　　七言绝句　押庚韵	独入深山信脚行，惯当貙虎不曾惊。路傍花发无心看，惟见枯枝刮眼明。
四老庙（唐·蒋吉）　　七言绝句　押庚韵	无端舍钓学干名，不得溪山养性情。自省此身非达者，今朝羞拜四先生。
昭君冢（唐·蒋吉）　　七言绝句　押真韵	曾为汉帝眼中人，今作狂胡陌上尘。身死不知多少载，冢花犹带洛阳春。
闻歌竹枝（唐·蒋吉）	巡堤听唱竹枝词，正是月高风静时。独向东南人不会，弟兄俱在楚江湄。
