会稽东小山（唐·陆羽）　　七言绝句　押齐韵	月色寒潮入剡溪，青猿叫断绿林西。昔人已逐东流去，空见年年江草齐。
歌（唐·陆羽）　　押灰韵	不羡黄金罍，不羡白玉杯。不羡朝入省，不羡暮入台。惟羡西江水，曾向金陵城下来。
句（唐·陆羽）	辟彊旧林间，怪石纷相向①。绝涧方险寻，乱岩亦危造②。泻从千仞石，寄逐九江船③。
句（唐·陆羽）	行坐诵佛书。
