月（唐·袁郊）　　七言绝句　押删韵	嫦娥窃药出人间，藏在蟾宫不放还。后羿遍寻无觅处，谁知天上却容奸。
霜（唐·袁郊）　　七言绝句　押阳韵	古今何事不思量，尽信邹生感彼苍。但想燕山吹暖律，炎天岂不解飞霜。
露（唐·袁郊）　　七言绝句　押萧韵	湛湛腾空下碧霄，地卑湿处更偏饶。菅茅丰草皆沾润，不道良田有旱苗。
云（唐·袁郊）　　七言绝句　押侵韵	楚甸尝闻旱魃侵，从龙应合解为霖。荒淫却入阳台梦，惑乱怀襄父子心。
