和潘孟阳春日雪回文绝句（唐·张荐）　　五言绝句　押真韵	迟迟日气暖，漫漫雪天春。知君欲醉饮，思见此交亲。
奉酬礼部阁老转韵离合见赠（唐·张荐）	移居既同里，多幸陪君子。弘雅重当朝，弓旌早见招。植根琼林圃，直夜金闺步。劝深子玉铭，力竞相如赋。间阔向春闱，日复想光仪。格言信难继，木石强为词。
郊庙歌辞 享文敬太子庙乐章 送神（唐·张荐）　　押先韵	三献具举，九旗将旋。追劳表德，罢享宾天。风引仙管，堂虚画筵。芳馨常在，瞻望悠然。
