江南行（唐·张潮）　　七言绝句　押删韵	茨①菰叶烂别西湾，莲子花开②犹未还。妾梦不离江水上③，人传郎在凤凰山。
江风行（唐·张潮）	婿贫如珠玉，婿富如埃尘。贫时不忘旧，富日（一作贵）多宠新。妾本富家女，与君为偶匹。惠（一作念）好（一作汝）一何深，中门不曾出。妾有绣衣裳，葳蕤金缕光。念君贫且（一作与）贱，易此从远方。远方三千里，思君心未已①。日暮情更来，空望去时水。孟夏麦始秀，江上多南风。商贾归欲尽，君今尚（一作向）巴东。巴东有巫山，窈窕神女颜。常恐游此方（一作山），果然不知还。
襄阳行（唐·张潮）	玉盘转明珠，君心无定准。昨见襄阳客，剩说襄阳好无尽。襄汉水，岘山垂，汉水东流风北吹。只言一世长娇宠，那悟今朝（一作夕）见别离。君渡清羌渚，知人独不语。妾见鸟（一作木）栖林，忆君相思深。莫作云间鸿，离声顾俦侣。尚如匣中剑，分形会同处。是君妇，识君情，怨君恨君为此行。下床一宿不可保，况乃万里襄阳城。襄阳传近大堤北，君到襄阳莫回（一作迷）惑。大堤诸女儿，怜钱不怜德。
采莲子（唐·张潮）	朝出沙头日正红，晚来云起半江中。赖逢邻女曾相识，并著莲舟不畏风。
句（唐·张潮）　　押阳韵	寒林苞晚橘，风絮露垂杨①。
