柳眉（唐·赵鸾鸾）　　七言绝句　押真韵	弯弯柳叶愁边戏，湛湛菱花照处频。妩媚不烦螺子黛，春山画出自精神。
檀口（唐·赵鸾鸾）　　七言绝句　押阳韵	衔杯微动樱桃颗，咳唾轻飘茉莉香。曾见白家樊素口，瓠犀颗颗缀榴芳。
纤指（唐·赵鸾鸾）　　七言绝句　押东韵	纤纤软玉削春葱，长在香罗翠袖中。昨日琵琶弦索上，分明满甲染猩红。
酥乳（唐·赵鸾鸾）　　七言绝句　押豪韵	粉香汗湿瑶琴轸，春逗酥融绵雨膏。浴罢檀郎扪弄处，灵华凉沁紫葡萄。
云鬟（唐·赵鸾鸾）　　押寒韵	扰扰香云湿未乾，鸦领①蝉翼腻光寒。侧边斜插黄金凤，妆罢夫君带笑看。
