锦城春望（唐·卓英英）　　七言绝句　押真韵	和风装点锦城春，细雨如丝压玉尘。漫把诗情访奇景，艳花浓酒属闲人。
理笙（唐·卓英英）　　七言绝句　押庚韵	频倚银屏理凤笙，调中幽意起春情。因思往事成惆怅，不得缑山和一声。
游福感寺荅少年（唐·卓英英）　　七言绝句　押先韵	牡丹未及开时节，况是秋风莫近前。留待来年二三月，一枝和露压神仙。
荅玄士（唐·卓英英）　　七言绝句　押先韵	数载幽栏种牡丹，裹香包艳待神仙。神仙既有丹青术，携取何妨入洞天。
