咏蜀都城上芙蓉花（唐·张立）　　七言绝句　押支韵	四十里城花发时，锦囊高下照坤维。虽妆蜀国三秋色，难入豳风七月诗。
又咏蜀都城上芙蓉花（唐·张立）　　七言绝句　押鱼韵	去年今日到城都，城上芙蓉锦绣舒。今日重来旧游处，此花憔悴不如初。
句（唐·张立）　　押真韵	朝廷不用忧巴蜀，称霸何曾是蜀人①。
