建州节帅更代筵上献诗（唐·王感化）　　五言绝句　押灰韵	旌旗赴天台，溪山晓色开。万家悲更喜，迎佛送如来。
奉元宗命咏苑中白野鹊（唐·王感化）　　七言绝句　押豪韵	碧岩深洞恣游遨，天与芦花作羽毛。要识此来栖宿处，上林琼树一枝高。
句（唐·王感化）　　押阳韵	草中误认将军虎，山上曾为道士羊①。
