冶山二十咏（并序） 天泉池（唐·裴次元）　　五言绝句　押敬韵	鱼鳞息枯池，广之使涵泳。疏凿得蒙泉，澄明睹明镜。
南至日隔仗望含元殿炉香（唐·裴次元）　　五言排律　押先韵	冕旒初负扆，卉服尽朝天。旸谷初移（一作移时）日，金炉渐起（一作出御）烟。芬馨流远近，散漫入貂蝉。霜仗凝逾白，朱栏映转鲜。始看浮阙在，稍见逐风迁。为沐皇家庆，来瞻羽卫前。
律中应钟（唐·裴次元）　　五言排律　押冬韵	律穷方数寸，室暗在三重。伶管灰先动，秦正节已逢。商声辞玉笛，羽调入金钟。密叶翻霜彩，轻冰敛水容。望鸿南去绝，迎气北来浓。愿托无凋性，寒林自比松。
句（唐·裴次元）　　押翰韵	积高依郡城，迥拔凌霄汉①。
