山居 其一（唐·陈寡言）　　五言绝句　押真韵	照水冰如鉴，扫雪玉为尘。何须问今古，便是上皇人。
山居 其二（唐·陈寡言）　　七言绝句　押删韵	醉卧茅堂不闭关，觉来开眼见青山。松花落处宿猿在，麋鹿群群林际还。
临化示弟子（唐·陈寡言）　　七言绝句　押庚韵	我本无形暂有形，偶来人世逐营营。轮回债负今还毕，搔首翛然归上清。
