在巴南望郡南山呈乐天（唐·白行简）　　七言绝句　押删韵	临江一嶂白云间，红绿层层锦绣班。不作巴南天外意，何殊昭应望骊山。
见杭州乌窠和尚后作（题拟）（唐·白行简）　　七言绝句　押支韵	白头居士对禅师，正是楞严三昧时。一物也无百味足，恒沙能有几人知？
春从何处来（唐·白行简）　　五言排律　押灰韵	欲识春生处，先从木德来。入门潜报柳，度岭暗惊梅。透雪寒光散，消冰水镜开。晓迎郊骑发，夜逐斗杓回。淑气空中变，新声雨后催。偏宜资律吕，应是候阳台。
贡院楼北新栽小松（唐·白行简）　　五言排律　押冬韵	华省春霜曙，楼阴植小松。移根依厚地，委质别危峰。北户知犹远，东堂幸见容。心坚终待鹤，枝嫩未成龙。夜影看仍薄，朝岚色渐浓。山苗不可荫，孤直俟秦封。
金在镕（唐·白行简）　　五言排律　押侵韵	巨橐方镕物，洪炉欲范金。紫光看渐发，赤气望逾深。燄热晴云变，烟浮昼景阴。坚刚由我性，鼓铸任君心。踊跃徒标异，沈潜自可钦。何当得成器，待叩向知音。
归马华山（唐·白行简）　　五言排律　押删韵	牧野功成后，周王战马闲。驱驰休伏皂，饮龁任依山。逐日朝仍去，随风暮自还。冰生疑陇坂，叶落似榆关。躞蹀仙峰下，腾骧渭水湾。幸逢时偃武，不复鼓鼙间。
夫子鼓琴得其人（唐·白行简）　　五言排律　押侵韵	宣父穷玄奥，师襄授素琴。稍殊流水引，全辨圣人心。慕德声逾感，怀人意自深。泠泠传妙手，摵摵振空林。促调清风至，操弦白日沈。曲终情不尽，千古仰知音。
李都尉重阳日得苏属国书（唐·白行简）　　五言排律　押鱼韵	降虏意何如，穷荒九月初。三秋异乡节，一纸故人书。对酒情无极，开缄思有馀。感时空寂寞，怀旧几踌躇。雁尽平沙迥，烟销大漠虚。登台南望处，掩泪对双鱼。
滤水罗赋附歌（唐·白行简）　　押纸韵	玉卮无当兮安可拟，风飘有声兮不足比。惟滤罗之用也大哉，故去此而取彼。
