水阁（唐·朱景玄）　　五言绝句　押东韵	楼居半池上，澄影共相空。谢守题诗处，莲开净碧中。
迎风亭（唐·朱景玄）　　五言绝句　押阳韵	山雨留清气，溪飙送早凉。时回石门步，阶下碧云光。
双槠亭（唐·朱景玄）　　五言绝句　押真韵	连檐对双树，冬翠夏无尘。未肯惭桃李，成阴不待春。
莲亭（唐·朱景玄）　　五言绝句　押灰韵	回塘最幽处，拍水小亭开。莫怪阑干湿，鵁鶄夜宿来。
中峰亭（唐·朱景玄）　　五言绝句　押微韵	中峰上翠微，窗晓早霞飞。几引登山屐，春风踏雪归。
飞云亭（唐·朱景玄）　　五言绝句　押庚韵	上结孤圆顶，飞轩出泰清。有时迷处所，梁栋晓云生。
四望亭（唐·朱景玄）　　五言绝句　押先韵	高亭群峰首，四面俯晴川。每见晨光晓，阶前万井烟。
望莲台（唐·朱景玄）　　五言绝句　押支韵	秋台好登望，菡萏发清池。半似红颜醉，凌波欲暮时。
茶亭（唐·朱景玄）　　五言绝句　押删韵	静得尘埃外，茶芳小华山。此亭真寂寞，世路少人闲。
宿新安村步（唐·朱景玄）　　七言绝句　押麻韵	淅淅寒流涨浅沙，月明空渚遍芦花。离人偶宿孤村下，永夜闻砧一两家。
和崔使君临发不得观积雪（唐·朱景玄）　　七言绝句　押灰韵	贫居稍与池塘近，旬日轩车不降来。一树琼花空有待，晓风看落满青苔。
题吕食新水阁兼寄南商州郎中（唐·朱景玄）　　押先韵	丹槛初结构，孤高冠清川。庭临谷中树，檐落山上泉。晓色挂残月，夜声杂繁弦。青春去如水，康乐归何年。
华山南望春（唐·朱景玄）　　押东韵	灵岳多异状，巉巉出虚空。闲云恋岩壑，起灭苍翠中。皓气澄野水，神光秘琼宫。鹤巢前林雪，瀑落满涧风。春尽花未发，川回路难穷。何因著山屐，鹿迹寻羊公。
溪东岑望天都山（唐·朱景玄）　　押侵韵	目望浮山丘，梯云上东岑。群峰争入冥，巉巉生太阴。昔贤此升仙，结构穷耸深。未晓日先照，当昼色半沈。风泉雪霜飞，云树琼玉林。大道非闭隔，无路不可寻。窥镜澄夙虑，望坛起敬心。一从呼子安，永绝金玉音。
句（唐·朱景玄）　　押庚韵	塞鸿先秋去，边草入夏生（见《西阳杂俎》）。
