望中有怀（唐·朱长文）　　七言绝句　押微韵	龙向洞中衔雨出，鸟从花里带香飞。白云断处见明月，黄叶落时闻捣衣。
题虎丘山西寺（唐·朱长文）　　七言绝句　押支韵	王氏家山昔在兹，陆机为赋陆云诗。青莲香匝东西宇，日月与僧无尽时。
宿新安江深渡馆寄郑州王使君（唐·朱长文）　　押东韵	霜飞十月中，摇落众山空。孤馆闭寒木，大江生夜风。赋诗忙②有意①，沈约在关东。
春眺扬州西上（一无上字）岗寄徐员外（唐·朱长文）　　押尤韵	芜城西眺极苍流，漠漠春烟间曙楼。瓜步早潮吞建业，蒜山晴雪照扬州。隋家故事不能问，鹤在仙②池期我游①。
吴兴送梁补阙归朝赋得荻花（唐·朱长文）	柳家汀洲孟冬月，云寒水清荻花发。一枝持赠朝天人，愿①比蓬莱殿前雪。
句（唐·朱长文）　　押萧韵	夜静忽疑身是梦，更闻寒雨滴芭蕉①。
