同燕公汎洞庭（唐·尹懋）　　七言绝句　押萧韵	风光淅淅草中飘，日彩荧荧水上摇。幸奏潇湘云壑意，山旁容与动仙桡。
奉陪张燕公登南楼（唐·尹懋）　　押霰韵	君子每垂眷，江山共流眄。水远林外明，岩近雾中见。终日西北望，何处是京县。屡登高春台，徒使泪如霰。
秋夜陪张丞相赵侍御游㴩湖二首（唐·尹懋）　　押侵韵	熊轼巴陵地，鹢舟湘水浔。江山与势远，泉石自幽深。杳霭入天壑，冥茫见道心。超然无俗事，清宴有空①林。
