咏蛙（唐·杨收）　　五言绝句　押支韵	兔边分玉树，龙底耀铜仪。会当同鼓吹，不复问官私。
笔（唐·杨收）　　五言绝句　押寒韵	虽匪囊中物，何坚不可钻。一朝操政柄，定使冠三端。
嘲吴人观者（唐·杨收）　　五言绝句　押元韵	尔幸无羸角，何用触吾藩。若是升堂者，还应自得门。
入洞庭望岳阳（唐·杨收）　　七言绝句　押齐韵	飞鸥撒浪三千里，暮草摇风一万畦。黛色浅深山远近，碧烟浓淡树高低。
