题菊花（唐·黄巢）　　七言绝句　押灰韵	飒飒西风满院栽，蕊寒香冷蝶难来。他年我若为青帝，报与桃花一处开。
自题像（唐·黄巢）　　七言绝句　押微韵	记得当年草上飞，铁衣著尽著僧衣。天津桥上无人识，独倚栏干看落晖。
不第后赋菊（唐·黄巢）	待到秋来九月八，我花开后百花杀。冲天香阵透长安，满城尽带黄金甲。
