游春台诗（唐·春台仙）　　五言绝句　押鱼韵	玉幢亘碧虚，此乃真人居。裴回仍未进，邪省犹难除①。
游春台诗 其六（唐·春台仙）　　押庚韵	凤凰三十六，碧天高太清。元君夫人蹋云语，冷风飒飒吹鹅笙①。
游春台诗 其五（唐·春台仙）　　押尤韵	乌沈海西岸，蟾吐天东头。
