甘州歌（唐·符载）　　七言绝句　押微韵	月里嫦娥不画眉，只将云雾作罗衣。不知梦逐青鸾去，犹把花枝盖面归。
题李八百洞（唐·符载）　　押陌韵	太极之年混沌坼，此山亦是神仙宅。后世何人来飞升，紫阳真人李八百。
句（唐·符载）　　押麻韵	绿迸穿篱笋，红飘隔户花（见杨慎外集）。
