边城柳（唐·刘皂）　　五言绝句　押庚韵	一株新柳色，十里断孤城。为近东西路，长悬离别情。
长门怨三首 其三（唐·刘皂）　　押元韵	蝉鬓慵梳倚帐门，蛾眉不扫惯承恩。旁人未必知心事，一面残妆空泪痕。
长门怨（唐·刘皂）　　押文韵	宫殿沈沈月欲分，昭阳更漏不堪闻。珊瑚枕上千行泪，不是思君是恨君①。
