怀范太史（明·梁鱼）　　七言绝句　押灰韵	春秋笔法史臣才，窜逐南荒瘴海隈。莫怨熙丰章仆射，只从川洛党中来。
宾学相传凡遇大比年则鹊来结巢士登科每如鹊育子之数因成一绝（明·梁鱼）　　七言绝句　押盐韵	凤鸟蹁跹舞绛檐，至和感物不须占。从今英俊多登第，分付飞禽育子添①。
宾阳八景 宝水春涛（明·梁鱼）　　押漾韵	宝水环流几千丈，一渡春来一清漾。鸥依渔父睡晴沙，鱼嚼落花吹细浪。白翻冻雪春水奔，绿浸垂杨夜添涨。何当借我洗干戈，黎庶都归衽席上。
