送陈献甫之云栖（明·王志坚）　　七言绝句　押侵韵	宝刀陇上日初沉，壁观峰前云正深。四十八声清夜发，教人失却少年心。
河间道中杂兴二首（明·王志坚）　　七言绝句　押东韵	朝求百骑尽如龙，赵女齐儿一队中。席帽长衫浑不辨，只教银镫露双弓。
读宋史张浚传二首（明·王志坚）　　七言绝句　押阳韵	一立彤墀喙便长，有时鲍老也当场。富平未起符离又，可悔弹文到李纲。
观冯生所藏倭王锦袍歌（明·王志坚）	冯生示我倭锦袍，腥风凛凛寒发毛。天吴紫凤恍惚是，水底鲛人亲自缫。倭王昔日乘潮入，箕子城头鬼夜泣。道旁瓦砾青珊瑚，茫茫衰草人膏湿。休徒暂住釜山坞，帐下健儿弄余武。鼎烹壮士似孤雏，槊挂婴儿作旋舞。何人东征拥貔貅，前茅初度辽海头。咄哉奉使竟不效，抱头窜却临淮侯。军中谁复探虎穴，猛士如云皆缩舌。冯生奋髯决独往，丈夫生计三尺铁。当时清正酋中雄，偏师坐拥千旗红。葛巾直往恣谈笑，一言未毕意已通。夷国亦有天，夷人亦有心。对君指心与君语，戴天愿如沧海深。临别殷勤重回首，西望长途酹杯酒。征袍自解锦云鲜，赠君刚及西风后。归来朝事一番变，讳却和戎尽言战。征夫羽箭各垂腰，东南转饷车遥遥。兵连海外不可解，从此司农心计劳。冯生趣驾归田去，尽铸腰镰作农具。只今蹩蹩长安尘，姓名不上论功疏。茅斋夜静闻寒柝，听君话旧灯花落。君不见钱将军，夜半提师斫阵云。功高不赏人所惜，鼠牙雀角何纷纷。世上难凭伸与屈，劝君且尽杯中物。
寄长蘅二首（明·王志坚）　　押霁韵	少小事编摩，谓可操左契。及乎当得失，辄非向所计。年来变态屡，追时殆如谜。屈伸苟不爽，冥冥失权势。咄哉司衡人，实乃天公隶。一编余故簏，字画麻姑细。仿佛共丹铅，深夜重门闭。十年梦幻身，感此潸欲涕。
