登城望鸳鸯湖（明·怀悦）　　七言绝句　押文韵	一上高城思不群，东风吹面洗余醺。红舷乌榜春湖上，多载银筝入暮云。
过相湖（明·怀悦）　　七言绝句　押东韵	扁舟飞出相湖东，花片红穿树底风。才听前村鸠唤雨，斜阳又在莫云中。
春兴（明·怀悦）　　七言绝句　押真韵	花气醺人似酒醇，东风随处扫香尘。不知画舫琵琶月，载得南湖几度春。
