过岭前（明·曹宗）　　七言绝句　押麻韵	青山四面罩烟霞，啼鸟声声傍野花。不是黄昏灯火见，谁知竹里有人家①。
题夷齐国（明·曹宗）　　七言绝句　押虞韵	周家有粟及鳏孤，甘作阳山两饿夫。岂是不知天命改，君臣大义未应无。
题杨妃背海棠图（明·曹宗）　　七言绝句　押阳韵	兰汤浴罢著衣裳，背立东风醉海棠。只为洗儿些个事，至今无面见三郎①。
