明妃曲（明·唐皋）　　七言绝句　押东韵	黄金不买画图中，从此春花闭汉宫。到得君王识倾国，无人主议罢和戎。
公莫舞（明·唐皋）	公莫舞，公莫舞，剑光飞，观如堵。亚父诚有见，沛公不击吾属虏。岂知帝王自有真，谁能阴谋肆轻侮。君不见三章易秦法，何如一炬成焦土！尔谋非不精，尔党自相拒。壮士拥盾入，怒发冲青天。立饮尽卮酒，生啖尽彘肩。须臾间行去霸上，鸿门玉斗徒纷然。
象山（明·唐皋）	象山巍巍高万仞，元气独钟天地正。下盘厚土上摩空，翠壁丹崖相掩映。长松古柏森且稠，琪花瑶草无春秋。层峦列嶂走云气，壮观东南百二州。行人翘首劳双目，纵有丹梯敢轻蹴。除是神仙有羽翰，飞上山巅看海旭。谷中流泉清不污，其中乃是蛟龙都。龙兮一出作霖雨，遂令四海无焦枯。衡岳相望仅为伍，始信东山能小鲁。矻然一柱擎苍天，天下仰瞻今又古①。
杨白花（明·唐皋）	杨白花，飘飘落谁家？渡江江水阔，江岸多泥沙。归来旧时树，不妨旧栖鸦。杨花不来杨叶愁，江水昼夜随东流。
