中秋对客（明·赵今燕）　　五言绝句　押文韵	月从今夜满，秋向此时分。莫惜金尊数，清光喜共君。
送王仲房还新安（明·赵今燕）　　五言绝句　押支韵	暮雪江南路，孤城尊酒期。殷勤折杨柳，还向去年枝。
燕来（明·赵今燕）　　五言绝句　押微韵	独坐掩罗帏，愁看双燕飞。思君不如燕，一岁一来归。
忆故居（明·赵今燕）　　七言绝句　押冬韵	柳絮春泥玉垒封，珠帘深锁暮烟浓。分明记得双栖处，梦绕青楼十二重。
续首句成韵（明·赵今燕）　　七言绝句　押寒韵	桃源人去绛帏寒，强折花枝带笑看。月上梅梢空有影，风吹柳絮不成团。
寄陈八玉英时留姑苏（明·赵今燕）　　七言绝句　押尤韵	何处箫声独上楼，伤心桃叶水空流。一从南国春销后，谁复佳人字莫愁。
暮春江上送别（明·赵今燕）　　七言绝句　押尤韵	一片潮声下石头，江亭送客使人愁。可怜垂柳丝千尺，不为春江绾去舟。
送张幼于还吴门（明·赵今燕）　　七言绝句　押鱼韵	花前双泪湿衣裾，把酒江亭落日馀。此去吴江霜月满，逢人好寄洞庭书。
送沈嘉则游广陵（明·赵今燕）　　七言绝句　押尤韵	秋风吹送木兰舟，处处青山待隐侯。莫向青山歌玉树，扬州花月使人愁。
