百丈飞泉（明·黎贯）　　五言绝句	卷却银河水，青山应更清。等闲评陆羽，来此读茶经①。
风门仙迹（明·黎贯）　　五言绝句　押冬韵	仙女乘鸾去，瑶台风雾浓。空馀石池水，清浅落芙蓉。
鹧鸪返照（明·黎贯）　　五言绝句　押侵韵	楼台馀返照，松栝起秋阴。欲就云门宿，前溪一水深①。
归韶峒山中（明·黎贯）　　五言排律　押元韵	修途惭蹇步，守拙返丘园。得罪非怀璧，穷途异触藩。风尘凋壮齿，雨露负明恩。鸣雁怜庄叟，雄鸠感屈原。薄田馀稻秫，荒径有兰荪。涧户窥书帙，山楹列酒尊。马疲思服皂，鹤举恋乘轩。岐路新知尽，沧洲吾道存。樊笼今脱略，鹏鴳且飞翻。力命今如此，浮荣宁复论。
北山篇（明·黎贯）	北山孤高凌紫氛，重峦叠嶂何絪缊。玄关九锁藏丹地，霞壁千重集绛云。中有三峰入参壁，悬梯织铁难登陟。上支天关回斗杓，下瞰沧溟奠鳌极。鸟道逶迤复几山，东望罗浮咫尺间。琳宫羽盖长寂寞，桂父芝童时往还。石梁巉岩不可越，六月阴厓积飞雪。白鹤朝翔珠树云，青鸾夜舞瑶台月。溪回径转接吾庐，暇日登临送日车。鍊药坛边逢玉铫，看棋石上阅金书。琅玕叶叶今应长，几度烟霄疲梦想。黄冠野服且归来，四百峰头恣来往①。
