溪桥晓市（明·陆德蕴）　　五言绝句　押纸韵	石梁双跨溪，虹影倒涵水。斜月未堕烟，烟中市声起。
送人还新安（明·陆德蕴）　　七言绝句　押覃韵	津亭芳草碧毵毵，人立东风酒半酣。万点落花舟一叶，载将春色到江南。
重过河沙有感（明·陆德蕴）　　七言绝句　押歌韵	白鹤沙头水自波，扁舟曾载夕阳过。东风一路蘼芜绿，添得春愁别后多。
春晓词（明·陆德蕴）	窗明云母光催曙，娇鸟惊啼画栏树。流苏复帐开芙蓉，枕屏残梦犹朦胧。东方风来寒剪剪，兰香熏衣藕丝软。银蟾隔帘斜堕云，卷帘花雾春无痕。
凤台曲（明·陆德蕴）	宫树层层隐栏曲，紫篁吹动参差玉。秋声袅袅月满台，青鸾衔信三山来。弱流拍山险难渡，飞琼别扫丛霄路。绿香绣帐尘梦消，紫篁声沉鸾影遥。金屏鹦鹉泣烟曙，海阔云深不知处。
富林春晓（明·陆德蕴）　　押歌韵	旭日始启旦，鸟声出烟萝。草堂检春事，花落风檐多。
巫山高（明·陆德蕴）	攒峰十二青丛丛，层台曲房雕绮栊。行云逗雨春迷濛，软风吹梦春无踪。兰香滴露啼幽翠，江波粼粼月光碎。老蛟踏波呼木魅，青鸾何处迎飞佩。
关山月（明·陆德蕴）	青海城高寒吐月，白龙堆下沙如雪。一镜明明圆复缺，长倚关山照离别。胡笳声悲胡马嘶，五更影落阴山西。铁衣寒重露凄凄，兰闺正掩残灯啼。
