南乡子 花朝（明·冯鼎位）	晓雾如烟，轻寒细雨嫩晴天。红杏枝头莺对语，飞去，昨夜玉人春梦处。
减字木兰花（明·冯鼎位）	长亭凄绝，去岁伤秋曾送别。杨柳湾头，一曲烟波一曲愁。高城何许，正在归鸿欲没处。满袖西风，人倚朱阑第几重。
盐角儿 春半（明·冯鼎位）	春分过也，小楼昨夜，棠梨花谢。章台折柳，西园拾翠，暗香随马。午风轻，莺声乍，盈盈侣秋千初罢。再相约、黄昏踏月，窗下绿蛾重画。
摊破浣溪沙 郊行（明·冯鼎位）	迟日青骢缓辔行，轻寒轻暖弄春晴。细草平沙花夹道，有啼莺。嫩绿翻风烟样软，小溪过雨镜般明。归近黄昏新月起，晚霞生。
子夜歌（明·冯鼎位）	上西楼、曲屏暮霭，记得烛花红处。自心字香消、彩云飞散，苹踪难聚。春水画桥，烟溪芳草，夜夜相思路。怅重来、情事依然，惟有半帘淡月，照人离绪。酒阑后、无聊短梦，尚逐紫箫声去。杨柳梢头，寒梅影里，曾看弓弯舞。想章台信杳，凄凉京兆眉妩。啼帕遗红，唾裙留碧、憔悴莺花主。倩谁传、桃叶桃根，断肠新句。
