雨晴（明·夏云英）　　七言绝句　押支韵	海棠初种竹新移，流水潺潺入小池。春雨乍晴风日好，一声啼鸟过花枝。
立秋（明·夏云英）　　七言绝句　押尤韵	秋风吹雨过南楼，一夜新凉是立秋。宝鸭香消沉火冷，侍儿闲自理空侯。
秋夜即事（明·夏云英）　　七言绝句　押支韵	西风飒飒动罗帏，初夜焚香下玉墀。礼罢真如庭院静，银缸高照看围棋。
