青山（明·郑昆）　　五言绝句　押灰韵	把酒对崔嵬，青山颜亦开。吾嗟不如女，曾见古人来。
老人（明·郑昆）　　七言绝句　押先韵	手里支藤长过肩，月明扶醉步村前。后生共说先朝事，及见英皇北狩年。
送族孙时敬游大梁（明·郑昆）　　七言绝句　押庚韵	白头不厌监门役，虚左常承公子迎。此去梁园须访古，相烦为我吊侯生。
寓意（明·郑昆）　　七言绝句　押先韵	锦衣公子意翩翩，下马人争接玉鞭。昔日青娥今白发，强操檀板向歌筵。
