山居（明·刘球）　　五言绝句　押麻韵	水抱孤村远，山通一径斜。不知深树里，还住几人家。
古意（明·刘球）　　押遇韵	慧星并圆月，辉映瑶台树。丽日隐重云，光天遂成暮。室暖兰无香，庭秋桂方蠹。长门及翠羽，寂寞无人赋。落花虚度春，细草偏承露。玉箸空自啼，金莲复谁步。凄然感我怀，零泪知何故。
会稽八景（明·刘球）	烟霞覆深穴，兹景何辽阒。通灵彻两仪，吐瑞成五色。明烛方外晨，暝归岩底夕。藏书今有无，百世传禹迹。
