新月（明·屈群力）　　五言绝句　押阳韵	玉镜初开匣，嫦娥露巧妆。天西新样子，传与画眉郎。
答湛甘泉（明·屈群力）　　七言绝句　押庚韵	野老何堪太史情，醇醪分注玉壶清。天生我有江湖兴，独自推篷对月倾。
辞举乡饮（明·屈群力）　　七言绝句　押文韵	抱病不堪沾盛典，迂疏犹恐负斯文。但歌击坏春无限，垂老青山只白云。
辞举乡饮 其三（明·屈群力）　　押齐韵	水竹为邻白发，鹿麋同伴青藜。膏肓何堪远召，掩关长与云栖①。
