夜饮王中丞元美宅（明·顾孟林）　　七言绝句　押支韵	与君湖海各栖迟，一夕相逢酒百卮。醉后不知何以别，醒来唯记月明时。
钟山人昔曾被役西方暇日为予说所见因书以赠之（明·顾孟林）　　七言绝句　押尤韵	闻君昔日过凉州，千里黄河一曲流。曾见西山遮虏塞，云间孤戍为防秋。
尧峰月夜同左虞赋（明·顾孟林）　　七言绝句　押文韵	空中楼阁暮氤氲，此夜人间不着君。我欲相从一片月，不知身是此山云。
