思妇吟（明·仲春龙）　　七言绝句　押真韵	身在天涯梦在秦，归时未卜见时频。浔阳江上秋风过，传得琵琶与别人。
直中作（明·仲春龙）　　七言绝句　押真韵	条风辇道起香尘，内诏传宣促五臣。别殿香飘黄帔揭，缠龙帖子赐宜春。
宫词二首（明·仲春龙）　　七言绝句　押麻韵	海子周遭长荻芽，春深乘舰不乘车。阿谁贪看游鱼戏，抛却新簪茉莉花。
