即席赠赵栗夫（明·陈章）　　七言绝句　押鱼韵	莱市街西新卜居，豆棚瓜蔓共萧疏。胸中富有书千卷，谁信家无儋石储。
答王存敬见赠（明·陈章）　　七言绝句　押蒸韵	梅黄诗句可争能，素操兼看冷似冰。他日期君何处是，龙门寺里一枝藤。
雨中过匏庵先生园居（明·陈章）　　七言绝句　押庚韵	海月庵前景自清，更看疏雨快吟情。红芳落尽还堪赏，绿树黄鹂三五声。
