题海棠双鸟（明·张肯）　　七言绝句　押阳韵	双双何事为春忙，花底飞来羽翼香。今夜且留枝上宿，莫烧银烛照红妆。
朱泽民寒林平远图为徐用理作（明·张肯）	冻云压空雪欲作，野旷阴凝气萧索。朔风一夜卷长林，万木离披尽摇落。天连平远眼界宽，前山宛在空濛间。溪头流水急如泻，日夕喷瀑声潺湲。我尝经行出林际，望断孤村日将暮。野乌啼饥那忍闻，瘦马经寒缩行步。悄无人迹途路赊，此时宁不思还家。人生慎勿事行迈，披图尚尔添咨嗟。
沈如美所画美人图为徐文辉作（明·张肯）	流苏缀彩鸳帐寒，金鸭不飞香缕残。新霜扑帘白如粉，哑哑乌啼金井栏。芙蓉屏开睡初醒，守宫浅褪胭脂冷。玉钗慵整双凤凰，春愁压翠蛾眉长。
瑞鹤仙（明·张肯）	盈盈罗袜。移芳步淩波，缓踏明月。清漪照影，玉容凝素，鬓横金凤，裙拖翠缬。渺渺澄江半涉。晚风生，寒料峭，消瘦想愁怯。我僭为兄，山矾为弟，也同奇绝。馀芬剩馥，尚熏透、霞绡重叠。春心未展，閒情在、两鬓眉叶。便蜂黄褪了，丰韵媚粉颊。
暗香疏影（明·张肯）	冰肌瑩洁。更暗香零乱，淡笼晴雪。清瘦轻盈，悄悄嫩寒犹自怯。一枕罗浮梦醒，閒纵步、风摇琼玦。向记得、此际相逢，临水半痕月。妖艳不同桃李，淩寒又不与、众芳同歇。古驿人遥，东阁吟残，忍与何郎轻别。粉痕轻点宫妆巧，怕叶底、青圆时节。问谁人、黄鹤楼头，玉笛莫教吹彻。
选冠子（明·张肯）	袅袅芙蕖，平铺断港，路入锦云处。香浮绿水，浪卷晴舟，宛在翠红香里。湘妃馀酣未醒，拥盖藏羞，含娇欲语。想淩波尘远，遥鸣佩，风飘艳绮。望中宛似若耶溪，隔水只欠，小艇采莲女。最怜芳意，佳藕难寻，肠断寸丝千缕。叶老房空，漫嗟此际，一点春心更苦。且休歌水调，恐惊起，文鸳双侣。
买陂塘 赋东郭草堂（明·张肯）	爱草堂、带村连郭，门前碧水千顷。秋波泠浸遥山晚，青镜净涵眉影。沙浦迥，怪隔水渔歌，鸥梦都惊醒。时乘小艇，向柳外花边，载诗载酒，独尽漫游兴。谩重省，且得身闲心静，乐事自甘瓢饮。好怀谁道中年减，佳趣更多吟咏。□转径，门正对朝阳，不怕梅花冷。流年暮景，肯容我为邻，相依卜筑，共尔两家隐。
浪淘沙令 咏莎滩（明·张肯）	雨过碧云秋，占断滩头，沧浪翻处湿纤柔。谁展翠茵平似剪，宿鹭眠鸥。沙尾远凝眸，雨惨烟愁，萋萋不共水东流。几度渔人来傍宿，绿映孤舟。
醉落魄 咏苔（明·张肯）	径翠钿狼藉，绿圆点点浓如积。芳痕涨雨凝寒碧，一片浓阴，休扫坐来石。径深不教残阳入，茸茸不似春红色。芳尘净洗无纤迹，吟客来时，只恐印行屐。
如梦令 咏石（明·张肯）	径庭掩尘踪静悄，雨长苔痕缭绕。行处不妨花，容我醉眠偏好。休扫，休扫。待积落红多少。
声声慢（明·张肯）	雪晴山邬，月冷江皋，岁寒解后相逢。携手归来，轻盈一样春容。行行□鸣环，暗香霏、缥缈东风。弄花手，与安排金屋，共贮芳。雅淡暗通心素，笑桃根桃叶，冶艳妖红。试问韶华，樽前若个情浓。想是乔家姊妹，可人处、清致皆同。春正好，淡眉山、愁减几重。
