为香山顾敬中题画（明·贺甫）　　七言绝句　押齐韵	芳草晴烟处处迷，画堂应在画桥西。花开记得寻君日，一路香风送马蹄。
题画次矫以明韵（明·贺甫）　　七言绝句　押庚韵	画舫西湖载酒行，藕花风度管弦声。余情未尽归来晚，杨柳池台月又生。
古诗二首（明·贺甫）　　押灰韵	焦桐古制作，乃是爨下材。金徽灿星斗，玉轸调风雷。宝之不欲弹，抚视日几回。囊韬籍文锦，有待知音来。
